income,credit_score,loan_amount,employment_years,loan_status
55080,643,382494,11,0
91842,644,55379,10,1
86373,618,481828,13,0
31776,785,255900,15,0
117787,686,268517,0,0
80016,625,440866,12,0
34474,584,450097,12,0
130830,550,318557,1,0
83053,845,147084,3,1
46959,609,191187,5,0
30530,816,279295,4,0
119856,778,67716,2,1
144101,819,365891,0,1
28748,835,233725,3,0
122504,840,177450,19,1
123098,762,183724,1,1
38545,714,213502,4,0
91199,554,154539,2,0
59766,627,434226,8,0
98530,611,131999,19,1
118557,681,124793,5,1
86087,638,457907,17,0
120839,786,467373,5,1
141183,591,380321,18,1
93840,638,22289,11,1
143451,845,186048,10,1
79384,844,184668,1,1
76005,653,426387,14,0
71576,563,241513,11,0
64353,837,267368,11,1
87003,728,96365,8,1
108211,674,240662,1,0
77733,572,386158,2,0
90318,612,185211,11,0
134953,692,189785,15,1
114474,702,432950,0,0
48664,694,82588,2,0
92172,774,73646,19,1
110616,653,275798,1,0
118264,653,492238,8,0
140386,588,290887,18,1
51736,747,320512,14,0
119209,683,231097,17,1
128041,616,215244,10,1
137859,728,409657,15,1
137181,591,129735,16,1
25854,564,165683,4,0
115084,660,392035,11,0
63623,706,117971,10,0
32392,838,22149,14,1
80680,780,372246,2,0
71717,706,331333,0,0
144937,587,248976,19,1
112092,646,424891,15,0
75859,838,343175,1,1
129095,803,52668,1,1
51309,745,416889,2,0
112455,635,479882,7,0
88734,559,98204,14,0
95467,554,221830,6,0
77662,672,206501,5,0
123506,667,426885,8,0
134751,843,175140,19,1
143906,708,229861,0,1
37688,777,150507,7,0
50342,765,235160,2,0
62157,733,193321,3,0
92863,564,47384,14,0
131308,706,91929,5,1
77083,685,400103,14,0
131081,810,86153,2,1
90733,706,245128,13,1
114045,596,85388,19,1
59698,722,41401,13,1
135078,679,212903,3,1
105623,644,129503,11,1
47671,664,242601,16,0
50184,792,137834,6,0
118384,841,44084,8,1
67107,831,261459,2,1
111202,848,120641,12,1
134893,832,115111,14,1
76663,618,459042,17,0
40708,697,439667,18,0
116906,560,148299,0,0
74811,803,172982,5,1
27811,587,308185,1,0
81250,683,361064,13,0
137547,749,337825,5,1
97082,572,244386,13,0
149249,767,353715,3,1
59754,690,206553,7,0
120742,653,471792,2,0
131642,759,270337,18,1
36411,660,137556,13,0
27911,653,205246,19,0
92270,720,36160,16,1
108763,682,256242,7,1
33680,842,27633,13,1
109896,676,498096,5,0
108879,655,289158,15,1
96295,641,352676,18,0
113614,836,59104,13,1
125689,600,444837,18,0
36111,578,349375,2,0
62504,845,78388,9,1
26802,846,26014,18,1
33155,763,102578,8,0
98656,816,174827,19,1
64384,806,50390,12,1
137561,650,295855,6,1
72254,659,101658,13,0
46918,731,67993,8,0
110981,550,215768,18,0
85713,604,168285,14,0
55306,698,256860,19,0
41646,686,461000,13,0
71843,751,279565,5,0
145975,666,228008,3,1
121601,703,27727,7,1
115735,840,384562,16,1
132512,612,14358,8,1
41371,793,337252,0,0
102371,574,267681,19,0
136472,639,104018,13,1
27049,624,396601,10,0
56616,843,435333,2,0
128727,759,491916,8,1
137893,566,304054,13,0
45932,677,136888,8,0
142796,800,239104,3,1
54855,728,327898,3,0
86434,731,203510,7,1
97694,701,119847,1,1
68016,574,432587,8,0
32400,729,454717,13,0
142858,747,464162,8,1
67642,710,310611,15,0
40151,726,420841,16,0
76407,834,306037,15,1
91690,612,86329,11,0
29499,699,41007,2,0
31295,703,494518,10,0
145885,705,180604,13,1
84040,598,326397,17,0
37183,633,22323,4,0
54299,726,383479,15,0
37874,697,122356,19,0
141336,667,120944,4,1
57711,612,214451,2,0
30539,738,417426,11,0
132941,598,288600,0,0
78351,806,41367,8,1
86267,773,64624,8,1
148133,690,413322,3,1
73354,764,244565,2,0
27557,760,78008,16,0
63360,581,398070,1,0
107018,707,387539,0,0
27200,834,126492,7,0
137476,835,82240,12,1
93497,693,336459,14,0
71975,568,472465,7,0
46357,567,211659,11,0
144121,806,282900,11,1
102505,627,471227,13,0
27869,724,308522,14,0
86135,743,145327,14,1
75108,662,417700,8,0
137296,663,135703,18,1
119179,771,328693,19,1
115272,715,175575,7,1
63467,681,345938,18,0
48328,813,317257,5,0
144181,604,84069,19,1
116412,680,239189,18,1
111831,837,408465,3,1
28987,815,261051,6,0
83871,711,422417,3,0
47399,636,135541,11,0
71214,604,199648,12,0
124522,837,266353,2,1
111416,727,281830,11,1
95271,557,325507,1,0
69064,796,369687,1,0
95091,804,141733,8,1
132450,603,185915,0,0
65818,798,105673,7,1
70525,788,464179,5,0
44830,778,52828,5,1
42429,616,320748,17,0
31893,600,282670,16,0
141381,646,341054,11,1
104909,641,35592,5,1
72333,813,301126,7,1
28436,840,272351,18,1
99290,645,242041,9,0
101213,637,360877,0,0
30895,627,240008,12,0
44738,837,134982,16,1
55746,669,266911,2,0
74377,714,78619,7,1
73404,731,170400,13,1
79045,772,318623,2,0
122888,556,161175,15,0
64790,812,180963,12,1
132455,710,151826,19,1
30600,700,241055,16,0
119660,634,353581,12,0
118179,696,108540,5,1
65764,661,345126,16,0
99543,585,112747,13,0
70714,834,196994,16,1
81835,737,320375,7,0
127946,631,39301,10,1
134616,551,232724,19,1
130983,746,203783,0,1
98744,560,182395,6,0
81491,783,28752,16,1
149123,744,223277,9,1
43589,668,370596,10,0
68484,569,154467,8,0
107989,810,227029,8,1
61212,842,393381,4,1
68525,805,66273,16,1
72202,771,268503,8,0
57635,775,101878,16,1
88208,602,277039,18,0
58828,829,129968,6,1
43711,630,387844,8,0
28420,751,86559,6,0
121752,707,20699,12,1
25301,669,206133,10,0
70236,608,19715,13,0
140294,764,29169,18,1
142858,677,128413,10,1
91235,773,419379,12,1
79240,758,129264,13,1
149019,664,277926,12,1
90726,758,229249,0,1
35492,563,134481,7,0
140668,558,225400,11,0
126279,589,45585,18,1
31102,786,302826,11,0
75336,830,188936,7,1
143015,750,402136,7,1
110314,795,356560,12,1
148007,827,458330,11,1
51641,784,399954,15,0
59584,553,48067,0,0
57745,703,183757,12,0
145542,578,263334,6,0
48093,658,28073,4,0
91105,647,46035,7,1
128746,764,206049,13,1
125199,842,243782,12,1
76885,624,100373,14,0
61631,695,355506,16,0
136217,677,100517,14,1
97991,591,75450,19,1
29014,590,20382,17,0
36093,583,407653,17,0
43070,566,212043,1,0
60777,714,467828,3,0
81958,702,231427,0,0
107074,625,71929,3,0
35729,636,243483,17,0
124713,666,238590,4,1
70017,576,371008,18,0
91320,836,153401,14,1
52751,683,266677,7,0
131400,768,297313,19,1
130864,717,97468,16,1
103069,647,44594,0,0
130647,817,480173,11,1
130510,786,201703,18,1
79748,722,55033,14,1
30801,739,73133,8,0
44190,671,476381,6,0
74689,595,83861,1,0
129290,613,193362,8,1
75993,679,497247,9,0
54592,742,303894,1,0
35647,730,498371,18,0
33716,841,50461,10,1
113891,831,477016,12,1
112545,578,88222,9,0
142638,698,122020,13,1
114912,816,296370,17,1
135627,845,278865,18,1
95316,560,459370,8,0
27368,713,30609,6,0
102575,662,455346,2,0
31655,736,140513,19,0
131477,844,213981,5,1
95031,781,114211,1,1
101429,776,196321,5,1
116083,647,452111,2,0
112922,604,497689,15,0
80766,660,408872,7,0
149046,701,397009,1,1
38403,795,346664,16,0
57097,618,466956,8,0
103657,838,336453,11,1
145607,799,39984,2,1
35966,585,128947,10,0
149862,788,214894,0,1
124157,697,15901,12,1
143834,776,172624,14,1
118848,793,232317,4,1
77921,750,303199,16,1
74726,703,178757,5,0
75300,622,477181,10,0
47677,750,155788,17,0
80609,845,124099,3,1
121825,566,21138,2,0
81661,678,176370,12,0
56024,766,454328,8,0
133211,610,33429,5,1
95313,653,60200,11,1
78006,591,212380,1,0
120285,574,451460,2,0
40338,588,258289,2,0
93027,840,255127,11,1
117772,680,373412,14,1
138632,778,246513,8,1
105135,657,27347,7,1
44508,721,157992,10,0
145379,651,41822,15,1
28051,561,449875,3,0
73747,824,50108,0,1
139692,650,401099,6,1
112142,593,492315,1,0
112235,566,17967,4,0
79021,606,382863,6,0
91412,561,21871,3,0
83335,629,235371,4,0
81179,765,218524,0,0
57093,813,215342,0,0
94678,698,174685,14,1
105738,630,38179,19,1
64734,764,261537,18,1
97615,747,193260,9,1
98523,749,327243,17,1
130103,574,45262,2,0
119476,638,350357,10,0
127769,817,389551,14,1
42019,692,421484,10,0
136721,608,481082,16,0
108613,575,358413,16,0
116794,596,70545,5,0
111672,837,244555,4,1
98847,815,233894,7,1
107750,565,213218,1,0
104634,748,475182,15,1
53251,831,312066,19,1
128481,635,482580,11,0
137566,799,52913,5,1
50945,819,369177,0,0
115852,666,376936,3,0
57217,556,260497,16,0
33308,686,458893,12,0
30949,725,453057,17,0
76990,764,187404,4,1
26150,631,495278,2,0
114480,772,392007,10,1
125235,652,498910,12,0
99740,822,166104,3,1
141352,563,178918,13,1
91617,708,200546,10,1
119841,701,54936,9,1
41896,657,170866,18,0
71175,737,202660,17,1
32805,647,212056,5,0
30237,680,453547,14,0
140247,842,235469,9,1
45056,720,38141,4,0
70543,732,412290,4,0
81556,588,147478,9,0
139548,564,107359,4,0
136488,553,395423,2,0
28343,759,164363,5,0
38500,710,51568,3,0
78222,565,107539,17,0
54375,657,56851,8,0
34662,776,64823,16,1
41964,719,33312,12,1
138429,583,446324,14,0
146692,800,470134,19,1
84638,796,437387,16,1
98666,818,444995,12,1
110067,690,209900,15,1
143937,823,370867,3,1
92215,645,284555,4,0
94042,776,259062,4,1
38284,588,329153,8,0
97789,578,418638,16,0
109664,794,445684,12,1
118468,785,42371,1,1
86389,734,67022,12,1
34435,821,343373,18,1
79340,785,109071,2,1
69078,788,192268,9,1
103832,815,483570,1,1
76293,614,368918,12,0
120981,726,499626,18,1
103781,552,298859,16,0
85403,691,299749,13,0
54124,707,109853,11,0
120435,695,41174,11,1
68919,842,413172,10,1
133761,702,86373,6,1
146305,742,341396,3,1
60247,622,203021,18,0
146172,689,203718,0,1
119758,736,80017,2,1
116747,842,73037,12,1
87752,610,99818,14,0
81573,747,16548,1,1
84101,844,126981,10,1
127756,560,244213,3,0
51646,611,214366,18,0
129185,775,164249,16,1
48049,702,296166,2,0
104605,748,116297,17,1
123116,601,146614,7,0
122379,809,232084,18,1
93385,608,499536,4,0
65158,621,70428,6,0
90417,697,163812,7,1
48289,612,331497,4,0
135226,792,493569,16,1
125793,656,123132,4,1
34823,775,197604,3,0
85160,767,26052,18,1
66975,790,110689,1,1
34540,808,188148,10,0
41364,811,456636,12,0
29611,554,141743,14,0
52663,810,272307,11,1
76991,603,313568,10,0
82679,596,456960,6,0
129182,764,473547,4,1
55977,726,413850,16,0
119704,558,145870,19,1
74115,648,294564,8,0
116007,569,130575,13,0
113223,790,268230,11,1
85890,610,301444,5,0
91387,727,362025,16,1
43071,611,20749,18,0
84275,694,114131,18,1
97369,765,166193,15,1
36938,552,400707,11,0
60195,709,309631,11,0
116680,776,235019,19,1
29000,818,436577,5,0
95588,669,293367,3,0
126042,638,82930,5,1
118610,617,155128,10,1
145420,647,300524,0,1
128691,816,298179,14,1
131306,654,302764,10,1
122856,672,423093,18,1
63304,578,266553,17,0
136783,686,458532,16,1
94449,744,205113,18,1
107986,775,389504,13,1
114643,719,63352,17,1
45764,558,434127,18,0
133940,589,173856,14,1
111027,574,13191,14,1
63494,810,436376,3,0
28373,775,362680,6,0
37161,673,114576,12,0
122532,587,205713,2,0
117658,800,452939,15,1
148633,725,13631,8,1
125386,639,147244,7,1
52350,586,314224,19,0
118008,725,230169,12,1
119297,833,100353,16,1
50351,630,423497,16,0
113668,663,38671,16,1
139585,589,132811,0,0
40305,773,192503,7,0
100353,664,231972,18,1
101797,735,263211,5,1
90953,605,399878,2,0
82458,589,234033,4,0
132112,589,431818,12,0
45358,786,229861,14,0
28267,838,323543,13,0
107745,811,164544,15,1
114588,765,190302,17,1
63513,696,476832,10,0
51092,717,17099,2,0
36338,641,259686,9,0
25412,608,428647,9,0
32543,608,66492,15,0
130891,718,106722,11,1
58496,818,450900,1,0
85692,594,40111,8,0
114084,730,73936,2,1
117920,719,163686,14,1
148555,740,233332,2,1
69425,704,445207,18,0
63756,737,211548,17,1
43888,556,259031,7,0
60735,682,333064,16,0
72295,784,497510,7,0
142474,594,73530,6,1
139352,798,439440,6,1
108042,580,279932,2,0
110999,572,38082,0,0
42955,709,395431,3,0
62841,707,99570,4,0
95640,588,111015,0,0
90510,631,217888,14,0
59911,807,355732,4,0
84031,755,157603,12,1
113726,626,360484,7,0
32357,561,104439,7,0
57479,844,448073,4,1
86476,773,151214,8,1
69811,562,125053,0,0
61208,595,58355,3,0
45150,704,413082,2,0
96180,662,211139,1,0
68286,782,244706,7,0
137856,566,135426,8,1
93450,772,74027,1,1
46352,737,461122,13,0
80069,712,169210,13,1
136888,623,102601,3,1
135448,782,39956,5,1
39397,773,248340,10,0
66555,609,114797,2,0
71959,771,397061,7,0
25728,586,398447,2,0
75517,827,479511,13,1
144180,745,146511,12,1
91234,791,450457,12,1
64954,768,314677,1,0
72280,741,431486,12,0
104459,566,88815,18,1
41779,561,49279,5,0
88932,742,381931,15,1
97936,571,427104,1,0
49466,669,158702,7,0
61939,759,71063,16,1
94896,819,259599,1,1
60270,741,264311,9,0
84163,724,137896,15,1
107637,834,176216,5,1
76934,753,455377,1,0
89895,713,499934,1,0
57307,800,232146,12,1
79098,776,218432,14,1
85921,556,192051,1,0
30486,578,107661,6,0
33335,582,410195,2,0
111900,683,429405,7,0
146954,628,183672,13,1
127795,607,462776,6,0
114112,575,481256,6,0
122203,775,133257,0,1
36130,834,464774,16,1
112508,553,358349,8,0
130955,648,279054,12,1
143324,588,460929,18,1
85566,820,319001,18,1
91703,834,44964,16,1
52192,706,488883,9,0
26062,624,428443,9,0
109076,837,409194,3,1
114780,679,490743,7,0
46545,724,289297,19,0
46689,633,331909,19,0
36174,571,240156,17,0
113461,576,118212,13,0
128033,744,49071,17,1
34348,785,122990,13,0
48714,641,79519,19,0
63102,570,19503,14,0
99460,633,201775,3,0
127634,811,467595,12,1
114930,696,105457,7,1
31801,806,198938,17,0
128150,607,157977,11,1
97267,564,55838,13,0
73136,711,397344,1,0
48625,712,461495,17,0
107873,830,99489,1,1
125843,829,36806,10,1
97592,561,186072,8,0
102052,823,425384,11,1
69261,820,80119,16,1
26542,757,310858,14,0
46677,576,195165,16,0
71732,621,327563,17,0
75343,609,452361,5,0
64081,694,115432,16,1
87856,642,480641,17,0
118105,557,365093,7,0
113858,628,481027,8,0
44065,576,405677,5,0
149097,723,417507,4,1
108460,599,187876,11,0
113092,748,349115,10,1
79693,730,365615,0,0
51962,573,337090,10,0
53295,595,371133,18,0
38807,564,94080,8,0
67348,702,262791,1,0
51432,771,464548,11,0
108285,755,87794,3,1
131995,822,302985,3,1
116792,785,134447,17,1
82854,777,130029,14,1
65262,558,189830,18,0
62080,715,348416,12,0
26324,763,47643,18,1
116267,666,453624,16,1
149707,621,316094,5,1
60909,613,197921,15,0
114339,754,372644,11,1
44870,758,169116,18,0
59578,621,397732,4,0
97124,826,25997,16,1
142611,823,351895,0,1
128605,644,108605,9,1
51790,715,427127,14,0
143874,581,327677,10,0
50289,560,354710,12,0
80129,766,235942,4,1
118714,838,155643,0,1
119246,651,118255,11,1
40485,816,270298,10,0
69482,763,497679,16,1
111188,728,461157,3,0
29748,637,68005,14,0
111769,590,227322,8,0
34435,625,199784,19,0
28709,595,53541,18,0
148961,709,33387,18,1
55355,629,366124,11,0
80771,635,189980,4,0
82799,641,95457,9,0
38116,697,154129,16,0
50470,710,74028,4,0
67344,751,129246,15,1
67918,791,327875,6,0
77224,551,165930,8,0
64298,774,189761,2,0
133492,838,54638,14,1
105219,782,494814,15,1
86629,626,187558,17,0
91040,665,30567,13,1
124518,703,432955,2,0
124835,652,67804,11,1
53016,743,380965,8,0
48960,715,13754,6,1
58591,639,37044,8,0
107848,723,77260,12,1
128333,671,76912,17,1
136732,692,266695,4,1
139821,655,18706,12,1
92641,672,281038,3,0
61395,558,421253,1,0
136276,811,356130,15,1
47700,622,354086,8,0
59620,772,192684,8,0
128214,590,39725,5,1
45559,753,146998,10,0
118045,813,114555,0,1
118396,727,271486,3,1
86642,633,281640,12,0
101539,660,66447,12,1
46732,800,373748,12,0
116362,556,170878,1,0
55354,633,360343,8,0
38843,757,51321,7,1
135008,571,263113,6,0
139065,552,243103,3,0
96726,676,468311,17,0
42640,846,425872,2,0
77528,737,65147,5,1
63413,563,101396,11,0
77638,561,452882,11,0
77736,636,485584,7,0
132892,561,310931,0,0
135133,574,254839,3,0
131357,792,466162,10,1
93866,671,31727,2,1
44087,696,249423,12,0
66430,604,105081,16,0
49504,787,394865,9,0
32114,722,251130,11,0
103859,770,78056,14,1
124657,668,144153,9,1
35975,732,175268,13,0
36023,837,177807,12,1
46447,849,245821,4,0
115469,631,90102,5,1
48959,760,482794,1,0
91203,699,166570,16,1
144156,586,86865,3,1
54703,608,172728,13,0
34337,680,77695,9,0
71427,751,441116,2,0
146507,792,127235,2,1
86529,584,488115,14,0
127023,642,450917,5,0
109665,756,118777,16,1
130787,762,29033,11,1
56921,708,151877,19,1
58307,573,176923,10,0
52355,842,36832,3,1
128268,553,204509,5,0
29835,769,387869,0,0
45159,569,155016,19,0
129346,701,292017,15,1
72605,599,50372,14,0
146790,726,99464,16,1
130616,645,156451,7,1
63088,654,127322,11,0
103752,799,177823,9,1
80284,666,372226,14,0
82043,777,230894,8,1
60547,615,277254,1,0
122007,811,457557,4,1
107844,844,284231,5,1
52532,792,426978,6,0
59349,735,354761,0,0
147402,795,110483,6,1
143012,674,19596,19,1
70445,817,244627,11,1
30713,680,117539,15,0
81178,786,28313,15,1
74407,567,385319,10,0
95340,589,207621,3,0
75990,570,124914,12,0
100672,774,33705,6,1
90545,831,208436,3,1
109791,557,345589,14,0
83141,649,113892,18,1
48793,789,219717,8,0
81570,636,274167,10,0
120084,847,129654,7,1
62892,563,200868,0,0
26015,551,90073,7,0
149704,842,364341,12,1
86813,590,74429,3,0
52712,660,114195,7,0
125497,563,202699,2,0
33415,780,43848,8,1
136854,633,441020,1,0
137816,679,418595,1,0
87292,780,462880,12,1
48833,694,299910,14,0
29158,577,78099,11,0
87680,615,439276,3,0
45309,712,497949,7,0
31970,778,79122,8,0
97474,810,157159,4,1
111704,713,58868,19,1
71540,836,129119,17,1
45384,559,426441,10,0
